625400	4765840	10.03500462	-0.260164887
626800	4765840	24.43214798	-2.154109001
628200	4765840	85.46585083	-5.434720993
629600	4765840	59.98788452	-8.080159187
631000	4765840	97.10224915	-8.314278603
632400	4765840	94.90122986	-6.892074108
633800	4765840	-92.00695038	-6.492519855
635200	4765840	131.7823639	-6.056177139
636600	4765840	-62.32215881	-6.362352371
638000	4765840	-97.17865753	-5.856192112
639400	4765840	6.573619843	-5.659329891
640800	4765840	150.4912109	-4.030143261
642200	4765840	109.8054962	-3.688616991
643600	4765840	46.80678558	-4.52041626
645000	4765840	24.00928497	-5.349801064
646400	4765840	-43.28148651	-5.739896774
647800	4765840	-2.253541231	-6.252513885
649200	4765840	47.11652756	-6.302447319
650600	4765840	56.68817902	-7.753755569
652000	4765840	34.99688721	-7.284945965
653400	4765840	-42.06279373	-6.81467104
654800	4765840	162.8839722	-8.408638
656200	4765840	137.9470978	-9.591508865
657600	4765840	184.4454956	-8.723640442
659000	4765840	57.46559906	-7.911154747
660400	4765840	66.29270935	-6.331930161
661800	4765840	98.97405243	-4.625261784
663200	4765840	31.55165863	-4.019758224
664600	4765840	0.111518145	-4.392056942
666000	4765840	-0.924984455	-4.310999393
667400	4765840	10.79755402	-2.96921277
668800	4765840	126.5431976	-2.489657879
670200	4765840	-22.57406235	-2.867880821
671600	4765840	-25.34158707	-2.150932312
673000	4765840	-130.8803101	-1.641806841
674400	4765840	-86.80860138	-1.61383009
675800	4765840	33.68738174	-1.914937973
677200	4765840	-5.651646614	-2.02471447
678600	4765840	82.30033875	-1.957773566
680000	4765840	-5.071001053	-2.376495123
681400	4765840	132.5066681	-3.414857388
682800	4765840	7.484626293	-3.289245129
684200	4765840	126.7893295	-4.265153408
685600	4765840	306.287262	-4.247534752
687000	4765840	38.96353912	-3.895794153
688400	4765840	-34.9551506	-3.536780119
689800	4765840	-1.68956089	-4.086420059
691200	4765840	135.5689697	-3.821659088
692600	4765840	28.79043198	-4.01211977
694000	4765840	124.6112747	-4.988121033
695400	4765840	-51.31445313	-5.386940002
696800	4765840	63.8968277	-4.444378376
698200	4765840	195.7279968	-2.853990078
699600	4765840	238.4610596	-1.547825098
701000	4765840	300.0858765	-1.657696486
702400	4765840	347.1651001	-2.182756424
703800	4765840	241.8890381	-2.183133602
705200	4765840	216.2090912	-2.492420912
706600	4765840	101.682518	-3.416683674
708000	4765840	-12.94238186	-4.181591988
709400	4765840	-87.36447144	-4.308045864
710800	4765840	29.44709969	-6.213644028
712200	4765840	188.0715942	1.066876769
713600	4765840	301.6317444	8.614233017
715000	4765840	340.2772522	7.798032761
716400	4765840	206.8283539	5.960129738
717800	4765840	66.28412628	1.801261187
719200	4765840	11.99224663	0.007291886
625400	4767240	25.69235992	-0.282725096
626800	4767240	83.60674286	-3.302373648
628200	4767240	181.5174255	-8.845846176
629600	4767240	336.70578	-13.48163795
631000	4767240	161.6695251	-13.38202286
632400	4767240	206.8401184	-9.751294136
633800	4767240	-230.9070892	-9.012952805
635200	4767240	299.6832275	-8.824590683
636600	4767240	-54.06826019	-9.397940636
638000	4767240	-230.7943726	-9.632305145
639400	4767240	-108.2490005	-9.961446762
640800	4767240	272.7398071	-6.319179058
642200	4767240	237.2406006	-6.174245358
643600	4767240	94.90730286	-7.057133675
645000	4767240	36.0185318	-8.937624931
646400	4767240	-238.4199219	-9.760725021
647800	4767240	-68.35085297	-10.98841667
649200	4767240	118.1903	-11.8672142
650600	4767240	100.3463287	-15.81994534
652000	4767240	8.221159935	-13.24217701
653400	4767240	-203.9346619	-11.54486465
654800	4767240	304.8804321	-13.88742352
656200	4767240	482.5933838	-15.8411293
657600	4767240	685.6541748	-13.48716354
659000	4767240	155.9431763	-11.85576439
660400	4767240	177.5377655	-9.819928169
661800	4767240	206.5041046	-7.465616703
663200	4767240	26.84185791	-6.530889988
664600	4767240	15.73700714	-7.031720161
666000	4767240	-22.63042068	-6.443871498
667400	4767240	234.5567627	-4.531550407
668800	4767240	416.0932617	-4.89777565
670200	4767240	-52.86833572	-5.22220993
671600	4767240	-96.09231567	-4.432850361
673000	4767240	-331.459259	-4.940578461
674400	4767240	-278.8922424	-4.932266235
675800	4767240	8.390206337	-4.146383286
677200	4767240	-79.74794006	-3.759321928
678600	4767240	155.3313446	-2.351924181
680000	4767240	-76.6887207	-2.624335289
681400	4767240	206.8411407	-4.239532471
682800	4767240	-57.36266327	-2.811527252
684200	4767240	221.3092957	-4.796361446
685600	4767240	761.9682617	-5.265906811
687000	4767240	66.10456085	-4.610780239
688400	4767240	-199.9542847	-4.227561474
689800	4767240	-33.7623558	-6.372343063
691200	4767240	291.1911011	-5.082493782
692600	4767240	75.24624634	-6.033286572
694000	4767240	251.9262695	-8.93553257
695400	4767240	-176.6726227	-9.765900612
696800	4767240	139.2624207	-8.264829636
698200	4767240	528.2243042	-5.105492592
699600	4767240	539.2112427	-2.164499521
701000	4767240	770.7385864	-2.011218786
702400	4767240	817.3855591	-3.283039093
703800	4767240	555.4476929	-3.461285591
705200	4767240	353.8664856	-4.76538372
706600	4767240	158.9421539	-7.129154682
708000	4767240	-53.27970886	-9.15799427
709400	4767240	-289.1885986	-9.959742546
710800	4767240	-2.836351156	-12.70543194
712200	4767240	285.2244873	3.240510941
713600	4767240	594.0117798	17.34223747
715000	4767240	741.1546631	19.06962585
716400	4767240	433.0785828	12.26289082
717800	4767240	142.2189941	3.874102354
719200	4767240	26.95863342	0.206464723
625400	4768640	32.67757416	-0.304994315
