X,Y,Z,Density,Susceptibility
-13600003.5,4675232.541,-19500,0.42,0.0001
-13597427.46,4675208.824,-19500,0.42,0.0001
-13594851.44,4675184.454,-19500,0.42,0.0001
-13625748.03,4678015.653,-19500,0.42,0.0001
-13623171.15,4677998.447,-19500,0.42,0.0001
-13620594.29,4677980.589,-19500,0.42,0.0001
-13618017.45,4677962.077,-19500,0.42,0.0001
-13615440.62,4677942.912,-19500,0.42,0.0001
-13612863.81,4677923.093,-19500,0.42,0.0001
-13610287.02,4677902.621,-19500,0.42,0.0001
-13607710.25,4677881.495,-19500,0.42,0.0001
-13605133.49,4677859.717,-19500,0.42,0.0001
-13602556.76,4677837.284,-19500,0.42,0.0001
-13599980.05,4677814.199,-19500,0.42,0.0001
-13597403.36,4677790.46,-19500,0.42,0.0001
-13594826.68,4677766.068,-19500,0.42,0.0001
-13625731.11,4680598.148,-19500,0.42,0.0001
-13623153.58,4680580.928,-19500,0.42,0.0001
-13620576.06,4680563.053,-19500,0.42,0.0001
-13617998.56,4680544.524,-19500,0.42,0.0001
-13615421.08,4680525.342,-19500,0.42,0.0001
-13612843.62,4680505.505,-19500,0.42,0.0001
-13610266.17,4680485.015,-19500,0.42,0.0001
-13607688.74,4680463.87,-19500,0.42,0.0001
-13605111.33,4680442.072,-19500,0.42,0.0001
-13602533.95,4680419.619,-19500,0.42,0.0001
-13599956.58,4680396.513,-19500,0.42,0.0001
-13597379.23,4680372.753,-19500,0.42,0.0001
-13594801.9,4680348.339,-19500,0.42,0.0001
-13625714.17,4683181.301,-19500,0.42,0.0001
-13623135.99,4683164.065,-19500,0.42,0.0001
-13620557.82,4683146.174,-19500,0.42,0.0001
-13617979.66,4683127.629,-19500,0.42,0.0001
-13615401.52,4683108.429,-19500,0.42,0.0001
-13612823.4,4683088.574,-19500,0.42,0.0001
-13610245.3,4683068.065,-19500,0.42,0.0001
-13607667.22,4683046.902,-19500,0.42,0.0001
-13605089.15,4683025.084,-19500,0.42,0.0001
-13602511.11,4683002.611,-19500,0.42,0.0001
-13599933.09,4682979.484,-19500,0.42,0.0001
-13597355.08,4682955.702,-19500,0.42,0.0001
-13625697.22,4685765.11,-19500,0.42,0.0001
-13623118.38,4685747.859,-19500,0.42,0.0001
-13620539.55,4685729.952,-19500,0.42,0.0001
-13617960.74,4685711.39,-19500,0.42,0.0001
-13615381.95,4685692.173,-19500,0.42,0.0001
-13612803.17,4685672.3,-19500,0.42,0.0001
-13610224.41,4685651.773,-19500,0.42,0.0001
-13607645.67,4685630.59,-19500,0.42,0.0001
-13605066.95,4685608.753,-19500,0.42,0.0001
-13602488.25,4685586.26,-19500,0.42,0.0001
-13599909.57,4685563.112,-19500,0.42,0.0001
-13623100.76,4688332.311,-19500,0.42,0.0001
-13620521.27,4688314.388,-19500,0.42,0.0001
-13617941.8,4688295.809,-19500,0.42,0.0001
-13615362.35,4688276.575,-19500,0.42,0.0001
-13612782.92,4688256.684,-19500,0.42,0.0001
-13610203.5,4688236.138,-19500,0.42,0.0001
-13607624.11,4688214.937,-19500,0.42,0.0001
-13605044.73,4688193.079,-19500,0.42,0.0001
-13623083.12,4690917.422,-19500,0.42,0.0001
-13620502.98,4690899.482,-19500,0.42,0.0001
-13617922.85,4690880.887,-19500,0.42,0.0001
-13615342.74,4690861.635,-19500,0.42,0.0001
-13612762.65,4690841.727,-19500,0.42,0.0001
-13610182.58,4690821.162,-19500,0.42,0.0001
-13623065.46,4693503.191,-19500,0.42,0.0001
-13620484.66,4693485.236,-19500,0.42,0.0001
-13617903.88,4693466.624,-19500,0.42,0.0001
-13615323.11,4693447.355,-19500,0.42,0.0001
-13612742.36,4693427.428,-19500,0.42,0.0001
-13623047.79,4696089.621,-19500,0.42,0.0001
-13620466.33,4696071.649,-19500,0.42,0.0001
-13617884.89,4696053.02,-19500,0.42,0.0001
-13615303.47,4696033.734,-19500,0.42,0.0001
-13623030.1,4698676.71,-19500,0.42,0.0001
-13620447.99,4698658.723,-19500,0.42,0.0001
-13617865.89,4698640.077,-19500,0.42,0.0001
-13615283.8,4698620.773,-19500,0.42,0.0001
-13623012.4,4701264.461,-19500,0.42,0.0001
